year,stationID,ID,date,towtime,type,totalnum,juvnum,abundance,Latitude,Longitude,Temperature,Salinity,Depth,Distance_Offshore,Sediment,Sediment_Type,Distance_Sediment_Boundary
FL06,16,FL0616,10/5/06,20,RA,35,6,6,43.32015,-70.2488,8.5,32.8,-98.2600708,0.148014238,sd,3,0.006141163
FL10,10,FL1010,10/8/10,20,R,173,66,66,43.1972,-70.51543,13.7,32.17,-31.85783386,0.06433944,gr,1,0.027880831
FL02,16,FL0216,10/21/02,18,R,124,32,35.55555556,43.75087,-70.084,12.2,31.88,-14.4055481,0.012440855,sd-st/cl,6,0.012440834
FL11,13,FL1113,10/7/11,15,R,40,13,17.33333333,43.29988,-70.24782,9.2,32.56,-87.31360626,0.165267286,cl-st/sd,4,0.010085141
FL00,21,FL0021,11/7/00,20,R,17,5,5,43.7114,-69.7724,10.4,32.84,-18.68029022,0.011898347,sd,3,0.011898474
FL12,36,FL1236,10/3/12,13,RA,335,261,401.5384615,43.78253,-69.64105,11.1,32.83,-43.34972382,0.011074488,sd-st/cl,6,0.011074607
FL10,7,FL107,10/7/10,20,R,10,0,0,43.01922,-70.45457,7.9,32.76,-93.51280212,0.10335593,sd-cl/st,5,0.020715445
FL03,21,FL0321,10/21/03,16,R,124,53,66.25,43.64133,-70.16817,10.1,32.67,-26.71704674,0.017471922,gr,1,0.010893987
FL00,63,FL0063,11/30/00,22,R,55,11,10,44.3341,-67.8553,8.5,32.41,-52.36844635,0.032831991,sd-cl/st,5,0.032831939
FL01,29,FL0129,10/3/01,20,R,312,87,87,43.6963,-69.7634,NA,NA,-32.15058517,0.009825698,sd,3,0.009825745
FL04,6,FL046,10/13/04,20,F,2,0,0,42.957,-70.46,5.8,32.47,-98.76000977,0.141529026,sd-cl/st,5,0.006199881
FL11,77,FL1177,11/2/11,16,R,194,139,173.75,44.41085,-67.58755,10.8,32.62,-66.3237915,0.033285865,sd-cl/st,5,0.033285895
FL07,4,FL074,10/1/07,16,R,9,2,2.5,42.9348666,-70.6590333,7.3,32.3,-49.5280571,0.047233195,gr,1,0.00456587
FL00,27,FL0027,11/9/00,18,NA,239,92,102.2222222,43.8251,-69.4877,NA,NA,-69.88287354,0.019724905,sd-st/cl,6,0.019725026
FL04,54,FL0454,10/29/04,20,F,6,0,0,43.77853,-68.63973,8.2,32.68,-115.7439957,0.144276609,sd/st/cl,7,0.015256755
FL11,82,FL1182,11/4/11,20,F,285,96,96,44.58788,-67.29183,10.7,32.57,-54.79492569,0.011113791,sd-cl/st,5,0.004357121
FL06,74,FL0674,10/26/06,20,NA,74,8,8,44.04537,-68.30708,11.1,33.1,-87.07322693,0.063335495,sd/st/cl,7,0.062158424
FL08,47,FL0847,10/16/08,20,NA,17,2,2,43.77428,-68.78533,9.4,33.1,-96.44396973,0.068660023,sd/st/cl,7,0.068660176
FL06,62,FL0662,10/23/06,17,F,228,73,85.88235294,44.16455,-68.53267,11.9,32.43,-14.00799465,0.02557755,gr-sd,2,0.02557742
FL01,59,FL0159,10/18/01,21,RA,8,1,0.952380952,44.4582,-68.2236,11.5,32.49,-23.92332077,0.007002928,sd-st/cl,6,0.007002995
FL09,31,FL0931,10/14/09,15,R,476,279,372,43.7649,-69.69803,9.5,32.79,-54.00123596,0.025889202,sd-st/cl,6,0.014551499
FL10,64,FL1064,10/26/10,17,R,1456,709,834.1176471,44.25763,-68.4407,11.3,32.67,-32.17169571,0.013629316,sd-st/cl,6,0.013629159
FL04,45,FL0445,10/27/04,19,F,2,0,0,44.29005,-68.8872,10.3,32.01,-29.30982018,0.008507863,sd-st/cl,6,0.008507821
FL10,45,FL1045,10/19/10,20,R,188,66,66,44.20485,-68.9925,12.4,32.41,-53.02601242,0.028460309,sd-st/cl,6,0.028460376
FL06,9,FL069,10/3/06,17,NA,81,20,23.52941176,43.02482,-70.56252,8.6,32.46,-58.12032318,0.03938974,sd,3,0.002316515
FL05,15,FL0515,10/19/05,20,F,17,7,7,43.60217,-69.87167,8.7,32.8,-83.51570129,0.10358939,sd-st/cl,6,0.018896781
FL00,69,FL0069,12/1/00,20,RA,20,2,2,44.4548,-67.7262,7.7,32.4,-33.85969162,0.013355613,sd-cl/st,5,0.006199815
FL00,76,FL0076,12/3/00,15,R,1,0,0,44.4596,-67.2063,9.1,32.68,-86.42910767,0.111355582,sd/st/cl,7,0.053223631
FL02,32,FL0232,10/25/02,18,R,334,66,73.33333333,43.83643,-69.40857,11.4,32.91,-58.03280258,0.033935895,sd-st/cl,6,0.025997353
FL04,53,FL0453,10/29/04,20,F,23,0,0,43.91578,-68.62403,9.2,32.36,-87.01075745,0.094390511,sd/st/cl,7,0.080371724
FL01,56,FL0156,10/16/01,20,RA,1,0,0,44.3311,-68.5485,12.4,31.67,-33.22166061,0.012039767,sd-st/cl,6,0.012039846
FL00,71,FL0071,12/2/00,21,R,49,9,8.571428571,44.3866,-67.5442,8.9,32.73,-89.68241119,0.072020316,sd-cl/st,5,0.051772088
FL03,13,FL0313,10/17/03,16,F,241,144,180,43.28933,-70.50017,9.5,32.69,-34.09041595,0.051139097,sd,3,0.034949417
FL06,69,FL0669,10/25/06,20,R,89,19,19,44.23807,-68.45542,11.9,32.31,-23.04281235,0.013033756,sd-st/cl,6,0.012780839
FL04,3,FL043,10/11/04,20,R,3,0,0,42.89383,-70.60717,7.1,32.34,-75.20480347,0.068313416,sd,3,0.002491796
FL03,32,FL0332,10/30/03,15,NA,5,1,1.333333333,44.1595,-69.01917,11.1,32.21,-51.01667023,0.036399902,sd-st/cl,6,0.036399744
FL04,13,FL0413,10/14/04,20,R,1,0,0,43.243,-70.21867,5.9,32.74,-119.3638458,0.228969446,sd-st/cl,6,0.009855628
FL00,31,FL0031,11/13/00,19,R,259,99,104.2105263,43.8351,-69.1135,10.1,33.11,-66.15842438,0.031899131,sd/st/cl,7,0.031899129
FL11,43,FL1143,10/19/11,20,NA,349,136,136,44.23503,-68.98295,12.7,29.29,-45.81755447,0.019555749,sd-st/cl,6,0.019555798
FL04,40,FL0440,10/25/04,20,NA,92,2,2,43.79548,-69.07907,9.4,32.45,-80.60277557,0.084352393,sd/st/cl,7,0.012278823
FL07,32,FL0732,10/10/07,20,RA,90,36,36,43.63392,-69.85542,8.5,32.74,-59.58026886,0.06920439,sd,3,0.0093831
FL00,70,FL0070,12/2/00,20,R,157,38,38,44.4566,-67.6402,7.5,32.64,-28.89205933,0.018496264,sd,3,0.009544492
FL05,13,FL0513,10/18/05,16,R,694,421,526.25,43.65383,-70.0905,11,32.16,-38.1400032,0.01921696,gr,1,0.016783909
FL12,50,FL1250,10/9/12,20,R,133,52,52,44.22575,-68.8584,13.9,32.65,-24.0707283,0.006824352,sd-st/cl,6,0.001984114
FL10,4,FL104,10/5/10,20,R,19,3,3,42.87993,-70.6057,8.8,32.71,-80.56401825,0.082089161,sd-cl/st,5,0.006246881
FL02,74,FL0274,11/19/02,20,F,169,140,140,44.58433,-67.29767,9.4,33.05,-53.73921585,0.013610975,sd-cl/st,5,0.004955727
FL03,44,FL0344,11/3/03,16,F,40,9,11.25,44.16417,-68.5345,10.8,32.61,-14.19895363,0.023787164,gr-sd,2,0.023787036
FL02,81,FL0281,11/20/02,20,F,9,0,0,44.70687,-66.9513,9.6,33.06,-95.25286865,0.093901024,sd-cl/st,5,0.005335371
FL11,35,FL1135,10/13/11,18,NA,1,0,0,43.61207,-69.54957,9.1,33.07,-122.2345886,0.143176009,sd/st/cl,7,0.048492045
FL07,67,FL0767,10/24/07,20,R,12,0,0,44.00592,-68.24162,8.4,33.36,-97.42695618,0.118614632,sd-st/cl,6,0.004759356
FL11,54,FL1154,10/24/11,16,NA,201,53,66.25,43.99027,-68.44163,11.1,32.76,-83.90874481,0.105312717,sd/st/cl,7,0.082295786
FL07,79,FL0779,10/29/07,12,R,171,48,80,44.34998,-67.99373,10,31.87,-30.70607376,0.03276685,gr-sd,2,0.014149513
FL06,84,FL0684,11/11/06,20,R,101,21,21,44.52163,-67.45043,10.4,32.81,-47.25351715,0.033529058,sd,3,0.006686085
FL12,31,FL1231,10/2/12,20,R,2,0,0,43.55915,-69.78773,8.3,33.14,-110.4916153,0.148094465,sd-st/cl,6,0.0416148
FL04,64,FL0464,11/4/04,15,F,194,43,57.33333333,44.2154,-68.06603,9.4,32.26,-76.91184998,0.114858842,sd-cl/st,5,0.096123159
FL01,37,FL0137,10/8/01,20,F,252,107,107,43.8561,-69.0831,10.1,32.67,-57.87121964,0.0393445,sd/st/cl,7,0.039344619
FL00,73,FL0073,12/2/00,23,R,108,36,31.30434783,44.5413,-67.5056,8.1,32.78,-28.18771553,0.012120085,sd,3,0.012120091
FL03,58,FL0358,11/7/03,20,F,285,24,24,44.27,-68.12967,9.8,32.41,-63.21881104,0.069351027,sd-cl/st,5,0.019530675
FL10,44,FL1044,10/19/10,12,R,1,0,0,44.31012,-68.87815,12.9,32.3,-35.28671265,0.010909029,sd-st/cl,6,0.010909116
FL12,42,FL1242,10/5/12,14,F,229,145,207.1428571,43.82058,-69.48985,10.2,32.94,-71.9139328,0.021697034,sd-st/cl,6,0.016048166
FL11,6,FL116,10/5/11,20,R,3,0,0,43.12137,-70.27128,NA,NA,-132.6256256,0.203596734,sd-st/cl,6,0.030520838
FL12,55,FL1255,10/9/12,20,R,10,1,1,43.60883,-69.06023,10.7,33.93,-135.4794006,0.26186429,sd-st/cl,6,0.133432348
FL08,56,FL0856,10/21/08,20,R,18,0,0,43.93165,-68.44923,10.2,32.94,-100.4716187,0.151808296,sd/st/cl,7,0.03218493
FL05,5,FL055,10/11/05,20,R,2,2,2,42.9195,-70.39983,6.3,32.35,-83.5478363,0.206079131,gr-sd,2,0.014337799
FL10,74,FL1074,11/1/10,20,R,3,0,0,44.16655,-67.76738,9.8,34.09,-181.3558807,0.221401499,sd-cl/st,5,0.022027132
FL12,67,FL1267,10/17/12,20,R,39,1,1,43.93772,-68.36318,11.3,33.92,-104.4583282,0.15983175,sd/st/cl,7,0.004891545
FL08,79,FL0879,11/2/08,20,R,262,54,54,44.49432,-67.4348,10.1,32.6,-66.57408905,0.060736204,sd-cl/st,5,0.024756029
FL01,43,FL0143,10/10/01,20,R,109,17,17,43.7972,-69.0426,9.8,32.8,-79.68414307,0.10728278,sd/st/cl,7,0.003571635
FL04,4,FL044,10/11/04,20,R,6,0,0,42.9145,-70.571,6.8,32.36,-76.60001373,0.056437981,sd-cl/st,5,0.009080204
FL11,63,FL1163,10/27/11,20,F,785,447,447,44.28717,-68.1306,11.4,32.57,-63.78798294,0.059407974,sd-cl/st,5,0.007724225
FL02,23,FL0223,10/22/02,17,RA,191,95,111.7647059,43.6567,-69.97475,11.7,32.85,-54.00922394,0.059672444,cl-st/sd,4,0.020000524
FL09,65,FL0965,10/27/09,20,NA,53,0,0,44.01528,-68.2478,10.2,32.89,-96.10401154,0.122862974,sd/st/cl,7,0.005244507
FL12,60,FL1260,10/12/12,20,F,707,182,182,44.1347,-68.75695,13.7,32.76,-61.56635666,0.02529923,sd-cl/st,5,0.024210244
FL08,67,FL0867,10/25/08,20,R,652,245,245,44.25737,-68.13282,10.4,32.59,-63.30076981,0.062252972,sd-cl/st,5,0.025819209
FL06,30,FL0630,10/10/06,20,RA,75,51,51,43.71242,-69.79973,12.4,32.3,-17.01735306,0.009373234,sd,3,0.009373255
FL02,2,FL022,10/14/02,20,R,12,0,0,42.91263,-70.6723,10.9,32.6,-54.04800797,0.072578597,sd,3,0.001906648
FL12,24,FL1224,10/1/12,21,R,2,1,0.952380952,43.48018,-69.9488,8,33.14,-113.6041031,0.234269523,sd-st/cl,6,0.057959109
FL00,3,FL003,11/1/00,20,R,33,13,13,42.9354,-70.7462,NA,NA,-27.99489403,0.035906022,gr,1,0.006792616
FL10,30,FL1030,10/13/10,20,F,157,44,44,43.69983,-69.74627,11.3,32.8,-33.93411255,0.011229581,sd,3,0.00365142
FL05,39,FL0539,11/1/05,19,R,34,6,6.315789474,43.89252,-68.67513,10.4,31.63,-91.75399017,0.057027358,sd/st/cl,7,0.039025448
FL11,47,FL1147,10/22/11,15,F,522,255,340,43.91218,-68.75462,11.3,32.72,-91.15031433,0.026832819,sd-st/cl,6,0.008179196
FL10,20,FL1020,10/11/10,20,R,5,0,0,43.55208,-69.91668,8.9,33.22,-94.65116119,0.157234301,sd-st/cl,6,0.043038433
FL11,11,FL1111,10/6/11,20,R,434,291,291,43.1851,-70.53993,NA,NA,-30.02602196,0.048919413,gr,1,0.006350664
FL01,39,FL0139,10/8/01,15,RA,3,0,0,43.759,-69.1287,NA,NA,-91.01678467,0.101489262,sd/st/cl,7,0.018016511
FL01,65,FL0165,10/20/01,20,R,4,1,1,44.0543,-68.1338,9,33.29,-104.9527435,0.085072196,sd-st/cl,6,0.024799133
FL10,36,FL1036,10/14/10,20,R,1,1,1,43.63057,-69.47657,8.8,33.36,-111.0163269,0.160656364,sd/st/cl,7,0.082103823
FL04,17,FL0417,10/17/04,20,NA,63,16,16,43.49033,-70.33217,10.9,31.88,-25.08034897,0.01993959,gr-sd,2,0.019939696
FL00,29,FL0029,11/10/00,14,RA,4,0,0,43.7021,-69.2933,NA,NA,-98.77186584,0.057818601,sd/st/cl,7,0.053066766
FL09,89,FL0989,11/4/09,15,NA,14,4,5.333333333,44.50262,-67.69963,9.4,31.76,-12.28128147,0.004451563,sd,3,0.004451562
FL07,80,FL0780,10/30/07,17,RA,6,2,2.352941176,44.4683,-67.83085,10.4,31.72,-16.97419357,0.007212581,sd,3,0.007212658
FL12,88,FL1288,10/23/12,20,R,133,3,3,44.2313,-67.78455,12,33.73,-96.03401184,0.156165169,sd-cl/st,5,0.046299366
FL08,68,FL0868,10/28/08,20,R,5,2,2,44.16365,-67.81662,9.5,33.29,-129.2618713,0.207583943,sd-cl/st,5,0.070767727
FL09,67,FL0967,10/28/09,16,RA,100,31,38.75,44.27697,-68.4672,9.6,30.18,-41.31717682,0.007124326,sd-st/cl,6,0.007124328
FL06,58,FL0658,10/19/06,20,F,196,26,26,43.91728,-68.75377,11.4,32.99,-95.95639038,0.031307929,sd-st/cl,6,0.013293988
FL04,43,FL0443,10/26/04,20,R,565,122,122,43.9443,-68.97332,9.2,32.35,-64.2641449,0.050468201,sd/st/cl,7,0.02147623
FL09,15,FL0915,10/8/09,15,RA,6,2,2.666666667,43.55187,-70.28275,10.9,32.48,-7.226436138,0.005918479,gr-sd,2,0.00591853
FL08,30,FL0830,10/9/08,20,F,1,0,0,43.68315,-69.51225,8,32.92,-112.557991,0.097887058,sd/st/cl,7,0.097886921
FL00,8,FL008,11/2/00,20,NA,59,5,5,43.1421,-70.3947,NA,NA,-84.83201599,0.082881736,sd,3,0.019560131
FL11,57,FL1157,10/25/11,15,RA,105,20,26.66666667,44.32498,-68.46983,12.6,31.73,-60.82560349,0.009456173,sd-st/cl,6,0.009456341
FL10,82,FL1082,11/3/10,20,NA,35,1,1,44.28927,-67.62123,10.6,33.48,-94.36592865,0.145456163,sd-cl/st,5,0.063980776
FL00,37,FL0037,11/14/00,20,R,6,2,2,44.1872,-68.8967,10,32.7,-37.20271683,0.027169188,sd-st/cl,6,0.007022585
FL06,13,FL0613,10/4/06,20,F,24,8,8,43.15392,-70.3773,8.2,32.65,-87.99450684,0.102948999,sd,3,0.00033257
FL00,53,FL0053,11/27/00,20,NA,15,1,1,44.2217,-68.075,8.9,32.25,-71.78798676,0.110937702,sd-cl/st,5,0.092431403
